"province_id","province","district_id","name","code","type","support_type"
241,"Đắk Nông",1791,"Huyện Đắk Glong","6307",3,3
241,"Đắk Nông",1790,"Huyện Đắk R lấp","6302",3,3
210,"Đắk Lắk",1789,"Huyện Krông Bông","4011",3,3
210,"Đắk Lắk",1788,"Thị xã Buôn Hồ","4015",3,3
210,"Đắk Lắk",1787,"Huyện Krông Năng","4004",3,3
210,"Đắk Lắk",1786,"Huyện Ea H leo","4002",3,3
210,"Đắk Lắk",1785,"Huyện Cư M gar","4006",2,3
210,"Đắk Lắk",1784,"Huyện Buôn Ðôn","4013",3,3
252,"Cà Mau",1783,"Huyện Năm Căn","6108",3,3
252,"Cà Mau",1782,"Huyện Thới Bình","6102",3,3
258,"Bình Thuận",1781,"Huyện Tuy Phong","4702",3,3
258,"Bình Thuận",1780,"Huyện Bắc Bình","4703",3,3
258,"Bình Thuận",1779,"Huyện Đức Linh","4707",3,3
258,"Bình Thuận",1778,"Thị xã La Gi","4710",3,3
258,"Bình Thuận",1777,"Huyện Hàm Thuận Bắc","4704",2,3
258,"Bình Thuận",1776,"Huyện Hàm Thuận Nam","4705",3,3
239,"Bình Phước",1775,"Thị xã Phước Long","4307",3,3
239,"Bình Phước",1774,"Thị xã Bình Long","4304",3,3
239,"Bình Phước",1773,"Huyện Hớn Quản","4309",3,3
239,"Bình Phước",1772,"Huyện Chơn Thành","4303",3,3
262,"Bình Định",1771,"Huyện Hoài Nhơn","3704",3,3
262,"Bình Định",1770,"Huyện Phù Cát","3706",3,3
262,"Bình Định",1769,"Thị xã An Nhơn","3710",3,3
249,"Bắc Ninh",1768,"Huyện Yên Phong","1902",2,3
249,"Bắc Ninh",1767,"Huyện Thuận Thành","1906",2,3
249,"Bắc Ninh",1766,"Huyện Gia Bình","1907",3,3
248,"Bắc Giang",1765,"Huyện Yên Thế","1802",3,3
248,"Bắc Giang",1764,"Huyện Yên Dũng","1810",2,3
248,"Bắc Giang",1763,"Huyện Việt Yên","1809",2,3
248,"Bắc Giang",1762,"Huyện Tân Yên","1806",3,3
248,"Bắc Giang",1761,"Huyện Sơn Động","1804",3,3
248,"Bắc Giang",1760,"Huyện Lạng Giang","1808",3,3
248,"Bắc Giang",1759,"Huyện Hiệp Hòa","1807",3,3
217,"An Giang",1758,"Huyện Châu Phú","5108",3,3
217,"An Giang",1757,"Huyện Chợ Mới","5109",3,3
