"symbol","industry","market","name","sector","subsector","supersector","group","listingDate"
"TBC","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Thủy điện Thác Bà","Sản xuất & Phân phối Điện","Sản xuất & Phân phối Điện","Điện, nước & xăng dầu khí đốt","HOSE","2009-10-19"
"TBX","Công nghiệp","HNX ","Công ty Cổ phần Xi măng Thái Bình","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HNX","2008-11-18"
"TC6","Nguyên vật liệu","HNX ","Công ty Cổ phần Than Cọc Sáu - Vinacomin","Khai khoáng","Khai thác Than","Tài nguyên Cơ bản","HNX","2008-06-26"
"TCB","Ngân hàng","HOSE","Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam","Ngân hàng","Ngân hàng","Ngân hàng","VN30","2018-06-04"
"TCD","Công nghiệp","HOSE","Công ty Cổ phần Đầu tư Phát triển Công nghiệp và Vận tải","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2017-05-26"
"TCH","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy","Ô tô và phụ tùng","Sản xuất ô tô","Ô tô và phụ tùng","VN30","2016-10-05"
"TCL","Công nghiệp","HOSE","Công ty Cổ phần Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng","Vận tải","Dịch vụ vận tải","Hàng & Dịch vụ Công nghiệp","HOSE","2009-12-24"
"TCM","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công","Hàng cá nhân","Hàng May mặc","Hàng cá nhân & Gia dụng","HOSE","2007-10-15"
"TCO","Công nghiệp","HOSE","Công ty Cổ phần Vận tải Đa phương thức Duyên Hải","Vận tải","Dịch vụ vận tải","Hàng & Dịch vụ Công nghiệp","HOSE","2012-02-27"
"TCR","Công nghiệp","HOSE","Công ty Cổ phần Công nghiệp Gốm sứ TAICERA","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HOSE","2006-12-29"
"TCT","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Cáp treo Núi Bà Tây Ninh","Du lịch & Giải trí","Vận tải hành khách & Du lịch","Du lịch và Giải trí","HOSE","2006-12-06"
"TDC","Công nghiệp","HOSE","Công ty Cổ phần Kinh doanh và Phát triển Bình Dương","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HOSE","2010-05-04"
"TDG","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Dầu khí Thái Dương","Nước & Khí đốt","Phân phối xăng dầu & khí đốt","Điện, nước & xăng dầu khí đốt","HOSE","2017-06-15"
"TDH","Tài chính","HOSE","Công ty Cổ phần Phát triển Nhà Thủ Đức","Bất động sản","Bất động sản","Bất động sản","HOSE","2006-12-14"
"TDM","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Nước Thủ Dầu Một","Nước & Khí đốt","Nước","Điện, nước & xăng dầu khí đốt","HOSE","2016-04-01"
"TDN","Nguyên vật liệu","HNX ","Công ty Cổ phần Than Đèo Nai - Vinacomin","Khai khoáng","Khai thác Than","Tài nguyên Cơ bản","HNX","2008-11-21"
"TDP","Công nghiệp","HOSE","Công ty Cổ phần Thuận Đức","Hàng công nghiệp","Containers & Đóng gói","Hàng & Dịch vụ Công nghiệp","HOSE","2018-11-12"
